stanford_class_id,stanford_class_name,category_code,category_name,type_code,type_name,acriss_ct
151,Lamborghini Aventador Coupe 2012,X,Special,E,Coupe,XE
152,Lamborghini Gallardo LP 570-4 Superleggera 2012,X,Special,E,Coupe,XE
153,Lamborghini Diablo Coupe 2001,X,Special,E,Coupe,XE
154,Land Rover Range Rover SUV 2012,L,Luxury,F,SUV,LF
155,Land Rover LR2 SUV 2012,P,Premium,F,SUV,PF
156,Lincoln Town Car Sedan 2011,L,Luxury,D,4-5 Door,LD
157,MINI Cooper Roadster Convertible 2012,N,Mini Elite,N,Roadster,NN
158,Maybach Landaulet Convertible 2012,W,Luxury Elite,T,Convertible,WT
159,Mazda Tribute SUV 2011,C,Compact,F,SUV,CF
160,McLaren MP4-12C Coupe 2012,X,Special,E,Coupe,XE
161,Mercedes-Benz 300-Class Convertible 1993,P,Premium,T,Convertible,PT
162,Mercedes-Benz C-Class Sedan 2012,P,Premium,D,4-5 Door,PD
163,Mercedes-Benz SL-Class Coupe 2009,L,Luxury,E,Coupe,LE
164,Mercedes-Benz E-Class Sedan 2012,P,Premium,D,4-5 Door,PD
165,Mercedes-Benz S-Class Sedan 2012,L,Luxury,D,4-5 Door,LD
166,Mercedes-Benz Sprinter Van 2012,O,Oversize,K,Commercial Van/Truck,OK
167,Mitsubishi Lancer Sedan 2012,C,Compact,D,4-5 Door,CD
168,Nissan Leaf Hatchback 2012,C,Compact,D,4-5 Door,CD
169,Nissan NV Passenger Van 2012,O,Oversize,V,Passenger Van,OV
170,Nissan Juke Hatchback 2012,C,Compact,G,Crossover,CG
171,Nissan 240SX Coupe 1998,C,Compact,E,Coupe,CE
172,Plymouth Neon Coupe 1999,E,Economy,E,Coupe,EE
173,Porsche Panamera Sedan 2012,L,Luxury,D,4-5 Door,LD
174,Ram C/V Cargo Van Minivan 2012,O,Oversize,K,Commercial Van/Truck,OK
175,Rolls-Royce Phantom Drophead Coupe Convertible 2012,W,Luxury Elite,T,Convertible,WT
176,Rolls-Royce Ghost Sedan 2012,W,Luxury Elite,D,4-5 Door,WD
177,Rolls-Royce Phantom Sedan 2012,W,Luxury Elite,D,4-5 Door,WD
178,Scion xD Hatchback 2012,E,Economy,D,4-5 Door,ED
179,Spyker C8 Convertible 2009,X,Special,T,Convertible,XT
180,Spyker C8 Coupe 2009,X,Special,E,Coupe,XE
181,Suzuki Aerio Sedan 2007,E,Economy,D,4-5 Door,ED
182,Suzuki Kizashi Sedan 2012,C,Compact,D,4-5 Door,CD
183,Suzuki SX4 Hatchback 2012,E,Economy,D,4-5 Door,ED
184,Suzuki SX4 Sedan 2012,E,Economy,D,4-5 Door,ED
185,Tesla Model S Sedan 2012,P,Premium,D,4-5 Door,PD
186,Toyota Sequoia SUV 2012,F,Fullsize,F,SUV,FF
187,Toyota Camry Sedan 2012,I,Intermediate,D,4-5 Door,ID
188,Toyota Corolla Sedan 2012,C,Compact,D,4-5 Door,CD
189,Toyota 4Runner SUV 2012,S,Standard,F,SUV,SF
190,Volkswagen Golf Hatchback 2012,C,Compact,D,4-5 Door,CD
191,Volkswagen Golf Hatchback 1991,C,Compact,D,4-5 Door,CD
192,Volkswagen Beetle Hatchback 2012,C,Compact,D,4-5 Door,CD
193,Volvo C30 Hatchback 2012,P,Premium,D,4-5 Door,PD
194,Volvo 240 Sedan 1993,I,Intermediate,D,4-5 Door,ID
195,Volvo XC90 SUV 2007,P,Premium,F,SUV,PF
196,smart fortwo Convertible 2012,M,Mini,T,Convertible,MT
